psi_deg,delta_dm,n_hemi1,n_hemi2
0.0,74.51032757319035,642,117
1.0,65.08490068899118,642,117
2.0,61.76598645811055,642,117
3.0,61.76598645811055,642,117
4.0,61.298378203561015,643,116
5.0,69.04458169877603,645,114
6.0,69.04458169877603,645,114
7.0,65.7945681484739,646,113
8.0,62.87095997031065,647,112
9.0,64.20747930637435,647,112
10.0,46.591182300874834,645,114
11.0,52.335346611370824,643,116
12.0,36.36803045309671,642,117
13.0,36.595948842518055,640,119
14.0,29.404415309796377,636,123
15.0,34.3038499499537,632,127
16.0,34.53445473533816,634,125
17.0,27.937620303613357,631,128
18.0,25.33449411855554,630,129
19.0,27.84112863176938,628,131
20.0,21.201057979806592,627,132
21.0,16.784278069659422,627,132
22.0,16.784278069659422,627,132
23.0,12.366725869807851,625,134
24.0,4.506150784217425,625,134
25.0,7.53229356509496,624,135
26.0,12.623333967781036,621,138
27.0,6.091974170803269,618,141
28.0,10.871133698802623,610,149
29.0,4.346008809782916,608,151
30.0,-12.611264443732125,605,154
31.0,-24.08382194193905,601,158
32.0,-19.796819372000982,599,160
33.0,-27.17886548515571,596,163
34.0,-25.38589085240278,595,164
35.0,-17.641729072159478,595,164
36.0,-12.800927074596302,595,164
37.0,-10.11212716902196,595,164
38.0,-10.045270278957332,594,165
39.0,-10.24201256772335,587,172
40.0,-9.843546205076564,585,174
41.0,-13.178626533784836,581,178
42.0,-10.88747380838754,579,180
43.0,-7.548226808755317,576,183
44.0,-6.87028521575553,573,186
45.0,1.8320159339630209,567,192
46.0,5.5390615688320395,563,196
47.0,2.2471859222191597,562,197
48.0,-2.7021171749820496,557,202
49.0,-0.03519862312305122,554,205
50.0,-3.164138614321473,551,208
51.0,2.4796086659766843,548,211
52.0,3.384761008513806,545,214
53.0,-0.3443267840493718,539,220
54.0,6.337531736167875,534,225
55.0,-2.76240076582485,531,228
56.0,-1.0632964269702825,529,230
57.0,-9.653738908876448,526,233
58.0,-18.7862927904373,523,236
59.0,-17.778516570808506,514,245
60.0,-16.52872998208659,506,253
61.0,-10.130997135437383,506,253
62.0,-8.314684739077393,504,255
63.0,-10.834184658269805,496,263
64.0,-9.173762010360178,487,272
65.0,-13.733344384033671,483,276
66.0,-16.751786682717693,479,280
67.0,-14.334636402351407,475,284
68.0,-10.741305482345524,471,288
69.0,-14.663794613712298,470,289
70.0,-16.36157161056485,456,303
71.0,-23.833314857878122,451,308
72.0,-22.681181849265386,448,311
73.0,-23.382940868184505,445,314
74.0,-21.52889929467824,442,317
75.0,-18.789659492155806,440,319
76.0,-13.030544435725915,436,323
77.0,-20.312292643877072,428,331
78.0,-16.47617140151374,422,337
79.0,-10.836905374761272,418,341
80.0,-10.218560926459986,413,346
81.0,-13.237865430515967,407,352
82.0,-19.87899201422806,401,358
83.0,-25.757800253482174,394,365
84.0,-27.348673772825578,387,372
85.0,-23.083038177567232,384,375
86.0,-24.11991559188027,375,384
87.0,-28.086482421740357,369,390
88.0,-22.62551869204799,362,397
89.0,-26.31479315026695,355,404
90.0,-25.13903301078676,340,419
91.0,-24.959119559571946,329,430
92.0,-19.81593464989328,323,436
93.0,-22.97189019288726,320,439
94.0,-16.936345508995146,309,450
95.0,-32.34912956755693,300,459
96.0,-26.433134126794812,295,464
97.0,-32.41921816307649,292,467
98.0,-25.784520521443028,285,474
99.0,-31.309439506600256,277,482
100.0,-29.75364964375285,273,486
101.0,-38.96110242725808,267,492
102.0,-44.997955865361064,264,495
103.0,-48.11337641385171,263,496
104.0,-64.31683489154625,260,499
105.0,-65.77907412244303,261,498
106.0,-65.20639733340295,252,507
107.0,-71.49501224834353,249,510
108.0,-70.19680684418086,247,512
109.0,-81.65599862197178,240,519
110.0,-88.16907351554391,237,522
111.0,-85.73074737645175,227,532
112.0,-83.6538436108192,223,536
113.0,-81.71136077329106,222,537
114.0,-80.35502892971158,220,539
115.0,-78.15321780723775,218,541
116.0,-68.73676954212124,213,546
117.0,-64.34303483886379,210,549
118.0,-64.34303483886379,210,549
119.0,-61.303106097469026,206,553
120.0,-58.875028757351174,205,554
121.0,-55.7706844302304,201,558
122.0,-52.746459524334796,198,561
123.0,-57.78897238603031,194,565
124.0,-62.82945729012067,191,568
125.0,-54.98789445353168,186,573
126.0,-57.75445315724551,186,573
127.0,-56.156253470338015,184,575
128.0,-56.486470267201184,183,576
129.0,-50.9762900914136,182,577
130.0,-52.10635081326427,178,581
131.0,-56.069697611452966,177,582
132.0,-59.42121320377373,173,586
133.0,-59.17123346176618,173,586
134.0,-57.788666309664904,172,587
135.0,-56.972650166101175,172,587
136.0,-60.69770771186677,171,588
137.0,-60.69770771186677,171,588
138.0,-56.77683497021417,165,594
139.0,-59.50754208904368,166,593
140.0,-60.93101208334633,160,599
141.0,-54.80617295059142,157,602
142.0,-55.79773675654292,156,603
143.0,-54.3874222238303,155,604
144.0,-50.54378342932023,150,609
145.0,-52.64308081915033,150,609
146.0,-52.27412162658402,150,609
147.0,-54.55284001501559,148,611
148.0,-46.531059205870406,143,616
149.0,-45.26416777781378,141,618
150.0,-42.75089644878585,137,622
151.0,-37.52477103617048,135,624
152.0,-51.72883415447973,130,629
153.0,-48.74771849866829,129,630
154.0,-53.47480672267784,125,634
155.0,-51.58010632475248,124,635
